category,tasks,raw_passes,raw_pass_at_1,constrained_passes,constrained_pass_at_1,constraint_delta_percentage_points,rescued_by_constraints,harmed_by_constraints,raw_syntax_rate,constrained_syntax_rate,raw_compile_rate,constrained_compile_rate,raw_generation_ms_p50,constrained_generation_ms_p50,constrained_generation_ms_p95,raw_aggregate_tokens_per_second,constrained_aggregate_tokens_per_second
arithmetic,96,78,0.8125,94,0.9791666666666666,16.666666666666664,18,2,1.0,1.0,0.8229166666666666,0.9791666666666666,202.394,140.04500000000002,259.746,216.3487325819793,168.19510356960754
conditional,112,32,0.2857142857142857,34,0.30357142857142855,1.7857142857142856,2,0,1.0,1.0,0.5803571428571429,0.5892857142857143,197.403,179.30700000000002,347.14874999999995,213.7431370236489,152.88467308570637
boolean,48,48,1.0,48,1.0,0.0,0,0,1.0,1.0,1.0,1.0,136.727,127.34299999999999,160.52335,213.96583134593797,170.5181077933498
numeric_loop,96,5,0.052083333333333336,4,0.041666666666666664,-1.0416666666666665,4,5,0.3333333333333333,1.0,0.052083333333333336,0.6666666666666666,295.47299999999996,1248.1570000000002,1844.9735,218.8500727543047,48.41161179911799
array,176,20,0.11363636363636363,112,0.6363636363636364,52.27272727272727,103,11,0.5170454545454546,1.0,0.32954545454545453,0.9147727272727273,329.80100000000004,636.863,11021.486249999998,227.18217882832795,36.33290090295011
array_boolean,32,16,0.5,32,1.0,50.0,16,0,0.5,1.0,0.5,1.0,295.4015,299.6935,319.70885,226.95954554382917,149.91984447079503
array_nullable,32,0,0.0,24,0.75,75.0,24,0,0.0,1.0,0.0,1.0,307.5725,292.67650000000003,663.9668,227.6422532883889,140.03427795586484
nested_array,48,0,0.0,42,0.875,87.5,42,0,0.0,1.0,0.0,0.875,353.82349999999997,1250.2925,1828.7424500000002,219.1075479052556,62.43321070604543
nullable,32,2,0.0625,32,1.0,93.75,30,0,0.5,1.0,0.5,1.0,374.899,873.931,1343.6640499999999,223.7013157696943,71.48968184115834
stdlib_string,80,66,0.825,0,0.0,-82.5,0,66,1.0,1.0,0.825,0.0,182.43900000000002,120.78,2019.1972,229.48838757177913,57.380435215237725
stdlib_math,32,16,0.5,0,0.0,-50.0,0,16,1.0,0.5625,0.9375,0.0,180.236,2434.187,5080.870649999999,229.55641225223803,117.50179387488159
class,16,0,0.0,0,0.0,0.0,0,0,1.0,1.0,0.0,0.0,464.9575,617.7945,747.0469999999999,224.5209784784614,164.88691640526693
